,c1,c2,c3,c4,c7,c8,t1,t2,t3,t6,t7,t8
YGL030W,24.683658170914544,34.670664667666166,33.44277861069465,35.36181909045477,28.288355822088956,30.59370314842579,27.746126936531734,28.379810094952525,23.652673663168414,29.684157921039482,27.820589705147427,21.946026986506748
YHL015W,23.875062468765616,32.12793603198401,34.36681659170415,33.00149925037481,31.617191404297852,31.822588705647178,18.523238380809595,20.702648675662168,16.041479260369815,20.906046976511742,18.407296351824087,20.212893553223388
YGL189C,28.122438780609695,29.995002498750626,31.13143428285857,31.647176411794103,28.71214392803598,31.740129935032485,21.5592203898051,25.159420289855074,21.6231884057971,25.195402298850574,25.781109445277362,26.577711144427788
YDR381W,26.883058470764617,29.253873063468266,30.192903548225885,31.93903048475762,31.421789105447278,31.69065467266367,23.204897551224388,25.231884057971016,22.58120939530235,24.831584207896054,23.897551224387804,20.28735632183908
YJR123W,22.389805097451273,32.28085957021489,32.27886056971514,35.94152923538231,29.74112943528236,29.488255872063966,20.436281859070466,21.480759620189904,17.549225387306347,21.47976011994003,21.541229385307346,22.89505247376312
YMR116C,21.849075462268864,32.10594702648676,32.58920539730135,36.560219890054974,26.999500249875062,30.189905047476262,19.954522738630686,22.885057471264368,18.63168415792104,24.482758620689655,22.1744127936032,21.731634182908547
YML028W,23.31984007996002,30.803098450774613,34.16391804097951,39.583208395802096,25.210894552723637,27.676661669165416,24.50574712643678,27.065967016491754,25.952523738130935,26.217391304347824,23.322838580709647,16.568215892053974
YGL135W,23.616191904047977,29.79810094952524,32.54922538730634,32.158420789605195,26.845577211394303,30.886056971514243,20.738130934532734,23.063468265867066,17.57721139430285,21.84007996001999,19.716141929035484,21.212893553223388
YGL123W,23.60919540229885,30.218890554722638,31.27536231884058,32.45477261369315,28.040979510244878,29.946026986506748,22.379810094952525,25.37081459270365,22.239880059970016,24.044477761119442,20.46526736631684,21.772113943028486
YBL003C,22.470764617691156,30.55672163918041,30.617191404297852,36.38980509745127,26.126436781609197,29.883058470764617,25.746126936531734,31.60169915042479,26.845077461269366,33.39480259870065,30.741629185407298,23.27536231884058
YML063W,27.44527736131934,28.99000499750125,31.770114942528735,28.569715142428784,28.964517741129434,27.719640179910044,16.626686656671666,20.77711144427786,15.56271864067966,18.95702148925537,19.081459270364817,19.509745127436283
YLR077W,29.872063968015993,29.72313843078461,30.715642178910546,28.509745127436283,25.12143928035982,28.76361819090455,30.23488255872064,35.27236381809095,34.18890554722638,40.386806596701646,37.92853573213393,28.603698150924536
YBL092W,26.586206896551722,30.505247376311843,30.38230884557721,31.764617691154424,24.711144427786106,28.29335332333833,19.03848075962019,20.709645177411293,18.170914542728635,22.543228385807097,21.41079460269865,20.495252373813095
YOL039W,26.293853073463268,28.920039980009996,30.243878060969514,28.472263868065966,29.724137931034484,27.59470264867566,20.665667166416792,24.371814092953525,20.16991504247876,24.383308345827086,21.438280859570217,26.051974012993504
YGR027C,27.6151924037981,29.513243378310843,28.996501749125436,32.63568215892054,25.42128935532234,27.324337831084456,20.561719140429783,25.5992003998001,20.44577711144428,26.26936531734133,24.174912543728137,22.04597701149425
YOL040C,24.10144927536232,29.71064467766117,31.278860569715143,30.067466266866568,26.472763618190903,29.341329335332333,21.046976511744127,23.18040979510245,20.32533733133433,21.48775612193903,20.68215892053973,20.837581209395303
YDL055C,24.05097451274363,27.46326836581709,27.90854572713643,33.5752123938031,28.810094952523738,28.85007496251874,13.577211394302848,17.1984007996002,13.854572713643178,16.788105947026487,15.020489755122439,14.457771114442778
YGR159C,20.89855072463768,28.80609695152424,30.654172913543228,32.06496751624188,27.504247876061967,30.128935532233882,21.127936031984007,22.394302848575713,18.817091454272862,21.90054972513743,17.77511244377811,14.33183408295852
YOR272W,32.723638180909546,28.387806096951525,29.35182408795602,31.373313343328334,19.531734132933533,28.10494752623688,26.361319340329835,34.59820089955023,43.26736631684158,36.09445277361319,30.2143928035982,15.009995002498751
YDR225W,21.171414292853573,29.027486256871565,34.398300849575214,36.60219890054972,21.769615192403798,27.408295852073962,25.431784107946026,32.65867066466767,26.28135932033983,31.29535232383808,29.339830084957523,18.766116941529237
YNL030W,20.122438780609695,31.8015992003998,30.101949025487258,38.11494252873563,22.496251874062967,26.260369815092453,24.14742628685657,29.87056471764118,25.25287356321839,32.66966516741629,27.819090454772613,19.22838580709645
YDL184C,23.675662168915544,27.960519740129936,27.22288855572214,29.876061969015492,28.022488755622188,27.614692653673163,25.126936531734135,29.699650174912545,22.981009495252373,29.477261369315343,27.833083458270863,24.649175412293854
YDR077W,17.290354822588707,30.83408295852074,30.836581709145428,35.82858570714642,25.70064967516242,26.41129435282359,19.848075962018992,21.59320339830085,13.449775112443778,17.006496751624187,17.538730634682658,17.089955022488756
YPL265W,32.992003998000996,23.81559220389805,25.988505747126435,28.695152423788105,25.2503748125937,26.377311344327836,15.178910544727636,19.547226386806596,17.938530734632682,30.561719140429783,27.22888555722139,16.03798100949525
YFR032C-A,24.03048475762119,26.75712143928036,27.300849575212393,29.77161419290355,27.76711644177911,26.724137931034484,20.824087956021987,23.283858070964516,16.81559220389805,21.75312343828086,17.90904547726137,20.393303348325837
YLR441C,21.084457771114444,26.154422788605697,27.70864567716142,31.288855572213894,26.848575712143926,27.35182408795602,18.062968515742128,19.347326336831586,14.891554222888555,17.085957021489257,16.764617691154424,18.900049975012493
YLR074C,26.7816091954023,26.658670664667667,28.182908545727138,30.72513743128436,22.616191904047977,23.77961019490255,19.000999500249875,22.887556221889056,25.375312343828085,22.350824587706146,19.48125937031484,16.490754622688655
YGL209W,29.179410294852573,23.63368315842079,21.363318340829586,23.15392303848076,29.512743628185905,32.57721139430285,14.366816591704147,17.987506246876563,14.30134932533733,19.721139430284857,19.174912543728137,13.66816591704148
YPL135W,23.87456271864068,27.30134932533733,30.42928535732134,30.310344827586206,21.280359820089956,24.920539730134934,16.44127936031984,19.953023488255873,15.966016991504247,19.823088455772115,15.862068965517242,12.299350324837581
YOL120C,22.002998500749626,28.886056971514243,27.87406296851574,28.408295852073962,24.164417791104448,25.051974012993504,16.67216391804098,20.413793103448278,16.97351324337831,21.223388305847077,19.400299850074962,16.750124937531233
YBR010W,18.665667166416792,26.684657671164416,31.57721139430285,36.06046976511744,21.386306846576712,24.762118940529735,26.626686656671666,31.156921539230385,21.766116941529237,29.974012993503248,29.26286856571714,21.023488255872063
YDL229W,21.632183908045977,26.100449775112445,25.888555722138932,29.00199900049975,26.64767616191904,25.21239380309845,18.14542728635682,23.47776111944028,19.39730134932534,19.219890054972513,20.17991004497751,19.191404297851076
YLR432W,22.728135932033982,25.784607696151923,25.409795102448776,27.455772113943027,25.604697651174412,26.27136431784108,19.318340829585207,23.5592203898051,18.30184907546227,19.683658170914544,20.07746126936532,20.288355822088956
YPR043W,21.150424787606198,27.515242378810594,27.766116941529237,28.013493253373312,22.654172913543228,23.997001499250374,17.122438780609695,19.3888055972014,15.55072463768116,19.49225387306347,16.185407296351823,17.163418290854572
YCR024C-A,19.681159420289855,27.385307346326837,25.41429285357321,27.68615692153923,21.954522738630686,25.017991004497752,19.118440779610197,22.017991004497752,18.993003498250875,21.55322338830585,19.644177911044476,15.340829585207397
YDR224C,17.10544727636182,26.996001999000498,27.5992003998001,30.138430784607696,23.4327836081959,22.555722138930534,24.826586706646676,31.62368815592204,18.988505747126435,25.716141929035484,23.34832583708146,19.409295352323838
YBR196C,21.42728635682159,26.175412293853075,26.06246876561719,27.371814092953525,20.731634182908547,24.373813093453272,23.330834582708647,27.369315342328836,23.037481259370313,20.8335832083958,17.863068465767117,14.37881059470265
YKR075C,26.38430784607696,18.316841579210394,18.028985507246375,20.94152923538231,30.584707646176913,35.25387306346827,18.58120939530235,22.740629685157423,17.86456771614193,27.5952023988006,23.132933533233384,18.81209395302349
YBL002W,18.291854072963517,25.751124437781108,26.89055472263868,27.524737631184408,22.27936031984008,23.365317341329334,21.87456271864068,23.68565717141429,20.719140429785107,26.372313843078462,23.677161419290353,19.865067466266865
YCL005W-A,29.8335832083958,22.03248375812094,21.93503248375812,21.715142428785608,21.564217891054472,26.719140429785107,29.034982508745628,35.70664667666167,36.421789105447274,44.6191904047976,40.09995002498751,23.962518740629687
YBR189W,20.61319340329835,24.90904547726137,28.979010494752625,27.33383308345827,18.42978510744628,23.383808095952023,13.96151924037981,17.16191904047976,13.573213393303348,16.41079460269865,16.152423788105946,13.995502248875562
YOL127W,21.525237381309346,24.23888055972014,24.50774612693653,25.099950024987507,22.549725137431285,24.036981509245376,14.334832583708145,16.630184907546226,14.71664167916042,15.139930034982509,14.62368815592204,15.052973513243378
YOR278W,24.450274862568715,22.634682658670666,23.84407796101949,26.550224887556222,17.84657671164418,24.270364817591204,23.43078460769615,30.307346326836583,29.315842078960518,29.441779110444777,30.69065467266367,19.956021989005496
YPL060W,30.02048975512244,25.36831584207896,24.613693153423288,19.888055972013994,15.994002998500749,24.992503748125937,22.232383808095953,24.67466266866567,31.94702648675662,38.54872563718141,35.92303848075962,19.049975012493753
YPL249C-A,19.86056971514243,24.219890054972513,23.16591704147926,23.09145427286357,23.369815092453774,24.049975012493753,18.002998500749626,19.74912543728136,13.807096451774113,16.39830084957521,15.872063968015992,18.420289855072465
YLL045C,21.590204897551224,23.701649175412292,23.291854072963517,23.28535732133933,21.861069465267366,23.06946526736632,14.75912043978011,16.40329835082459,13.610194902548725,16.51624187906047,14.131934032983509,15.760619690154922
YDR382W,22.48625687156422,20.677161419290353,23.723638180909546,21.154422788605697,23.632683658170915,23.756121939030486,20.41729135432284,22.087456271864067,21.032983508245877,23.67816091954023,23.499250374812593,22.966516741629185
YBR158W,18.047976011994002,24.369315342328836,23.05447276361819,28.646176911544227,20.328335832083958,21.835082458770614,11.419790104947527,13.07296351824088,9.77711144427786,13.35432283858071,12.321339330334833,9.112443778110945
