,c1,c2,t1,t2
YDR419W,2.7511244377811095,2.762118940529735,3.63768115942029,4.5477261369315345
YDR420W,3.8520739630184906,3.2773613193403297,3.8020989505247376,3.6461769115442277
YDR421W,3.736631684157921,3.347826086956522,3.106946526736632,3.0484757621189407
YDR422C,4.410294852573713,3.296351824087956,4.113943028485757,4.593703148425787
YDR423C,5.339330334832583,4.507246376811594,8.0119940029985,5.7101449275362315
YDR424C,6.15192403798101,5.716141929035483,6.634182908545728,6.551724137931035
YDR425W,3.386806596701649,3.7191404297851074,3.39880059970015,3.5402298850574714
YDR427W,4.606196901549225,3.7861069465267367,4.868065967016491,4.903548225887056
YDR428C,6.80359820089955,6.404297851074463,7.5542228885557225,6.768115942028985
YDR429C,5.058470764617691,5.546726636681659,9.361819090454773,6.422288855572214
YDR430C,3.3353323338330836,3.217391304347826,3.708645677161419,3.695152423788106
YDR432W,4.15192403798101,4.487256371814093,6.324837581209395,3.3493253373313343
YDR434W,3.4547726136931534,2.499250374812594,3.6901549225387305,4.016491754122939
YDR435C,2.4952523738130936,2.52023988005997,3.0684657671164417,3.0444777611194405
YDR436W,2.606696651674163,2.234382808595702,2.8590704647676164,2.6666666666666665
YDR437W,3.8385807096451776,2.837081459270365,4.240379810094953,3.5572213893053473
YDR438W,3.9515242378810593,3.009495252373813,4.844577711144428,4.453773113443279
YDR439W,3.420289855072464,2.9645177411294354,3.8160919540229883,3.892053973013493
YDR440W,2.0794602698650673,1.72063968015992,1.8150924537731135,2.7501249375312344
YDR441C,10.741629185407296,10.673663168415793,14.553723138430785,11.615192403798101
YDR443C,3.3233383308345825,2.3798100949525236,2.4122938530734634,3.376311844077961
YDR444W,4.777611194402799,4.356821589205397,5.170914542728636,3.9890054972513744
YDR446W,2.5122438780609695,1.5082458770614693,2.0384807596201897,2.899550224887556
YDR447C,8.829085457271365,10.384807596201899,10.931534232883559,8.37881059470265
YDR448W,3.6531734132933535,2.736631684157921,2.68015992003998,3.647176411794103
YDR449C,5.2388805597201396,4.962518740629685,5.796101949025488,5.462768615692154
YDR450W,14.642678660669665,16.649175412293854,15.580209895052473,13.592703648175911
YDR451C,4.877561219390305,5.255872063968016,3.580209895052474,3.918040979510245
YDR452W,3.2703648175912043,2.7246376811594204,4.2368815592203894,3.190904547726137
YDR453C,3.3043478260869565,2.896551724137931,3.122438780609695,3.607696151924038
YDR454C,4.966016991504248,4.461269365317341,4.1144427786106945,3.581209395302349
YDR456W,4.295352323838081,4.007996001999,4.282358820589705,4.459270364817591
YDR457W,4.199400299850075,3.5602198900549724,3.6616691654172913,3.936031984007996
YDR458C,4.548225887056471,4.6411794102948525,4.042978510744628,3.7491254372813594
YDR459C,2.8640679660169917,2.559720139930035,3.0869565217391304,3.178910544727636
YDR460W,3.0449775112443778,3.074462768615692,3.44127936031984,4.290354822588705
YDR461C-A,1.8065967016491755,2.1114442778610694,1.6976511744127936,2.5927036481759123
YDR461W,3.4707646176911546,3.083458270864568,2.6711644177911045,3.359320339830085
YDR462W,5.549725137431285,4.531234382808596,5.20439780109945,3.295352323838081
YDR463W,7.702648675662169,7.909045477261369,9.573213393303348,9.231884057971014
YDR464W,4.113943028485757,4.270864567716142,4.098950524737631,3.666166916541729
YDR465C,4.872063968015992,5.288355822088955,6.594702648675662,4.981009495252374
YDR466W,6.170414792603698,4.453273363318341,3.8040979510244877,5.4677661169415295
YDR468C,4.504247876061969,4.539230384807596,5.571714142928536,4.123938030984508
YDR469W,3.6881559220389803,3.3503248375812094,3.8875562218890556,4.478260869565218
YDR470C,2.4842578710644676,2.349825087456272,2.573713143428286,3.259870064967516
