"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YOL135C",-0.394634191976371,7.42636950838992,-3.95849806649344,0.000558042290167004,0.00256591000028203,-0.782533454568028
"YLR408C",0.522889075092394,7.05142098631755,3.93431445179555,0.000593612978821413,0.00268440969136877,-0.783245531870842
"YGR279C",-0.381470147063374,8.7210016017528,-3.98262256918737,0.000524656484445361,0.00247315156804734,-0.784356638077842
"YGR296W",0.585694643622914,6.43955539946498,3.87937554561813,0.000682941985497634,0.00299360291238695,-0.786012485215567
"YGR254W",-0.560267431075093,8.50218743599326,-3.97923951935915,0.000529216564454948,0.00247862006238982,-0.786899330514249
"YOR037W",0.526225177502088,6.9701395245614,3.92597952938199,0.000606383554517909,0.0027303087760034,-0.788842779319872
"YDR331W",0.409145050051795,7.33256167368179,3.94959231389504,0.000570889778963032,0.00261344001715267,-0.791209761993484
"YFL004W",-0.434321727183041,7.64272778490211,-3.96068662198183,0.000554929004890462,0.00255385099067626,-0.794916904601363
"YCL005W",0.388037837041259,7.3309643193092,3.94810425588803,0.000573064738476035,0.00261879013500243,-0.79541899812823
"YKL141W",0.593621804537981,6.86325776048158,3.91376963298335,0.000625581916711432,0.00279738305539777,-0.795461636980741
"YOR384W",0.395755014691292,6.93560914503276,3.92231145858781,0.000612089198795901,0.00275122994795567,-0.796466145249393
"YBL089W",0.38743628400799,7.3289610564111,3.94249871992095,0.00058133150565341,0.00264575254357101,-0.809114760739894
"YDL104C",0.517312021512588,6.40158097675808,3.86728293595496,0.00070431610011542,0.00306500273270155,-0.80940429389873
"YBR280C",0.534366051266617,6.34540630882507,3.86125976027699,0.000715206736921863,0.00309983316831116,-0.810820718331644
"YDR072C",0.44370841509029,8.56596336850069,3.96938473548712,0.000542724267964624,0.00252529186842759,-0.814124811838164
"YNL262W",0.55831862153021,6.44689443565879,3.86816969537621,0.000702726584327347,0.00306339352715564,-0.815494945637793
"YMR178W",0.5310901315393,7.13135307660876,3.92654552477116,0.000605507838908438,0.0027303087760034,-0.816054803914963
"YOR275C",0.51778322600603,6.28032380178105,3.85258669651904,0.000731180558633886,0.00315452795590071,-0.818064315566178
"YBL003C",-0.408152839213408,10.0072683060882,-3.96979637572862,0.000542153290414319,0.00252529186842759,-0.821822414927207
"YPL139C",0.474159456346501,6.76666786786306,3.89599121451511,0.000654612103492021,0.00289486490966522,-0.823965011264331
"YER045C",-0.520123520633718,7.00307148221442,-3.91697282927057,0.000620488102346582,0.00278177482576568,-0.827074365756799
"YHR045W",0.524923918906426,6.41021544947392,3.86005907200145,0.000717397467981343,0.00310653396076779,-0.829053924391211
"YOR124C",0.484867636539336,6.99994359612717,3.909386613818,0.000632618784417095,0.00282399723232502,-0.837654713152385
"YOR289W",0.49305994757677,6.63732192757439,3.87650792404764,0.000687952074296793,0.00301159844130766,-0.842339509884662
"YCL036W",-0.65439817657287,6.88161986700201,-3.9000037065514,0.000647946273868252,0.00286782343153423,-0.843419463119203
"YJL219W",0.708698810382658,5.38319289291034,3.76459890125919,0.000914433344987702,0.00380770044852879,-0.844997486913727
"YGR280C",-0.468710854626766,7.1388458932978,-3.91848480728271,0.000618097941760749,0.00277344809212474,-0.845916236385166
"YMR315W",0.395225881278776,7.25205288803513,3.92142860619725,0.000613470352190756,0.00275505882929498,-0.851434899211283
"YKL113C",0.528896460921301,6.71966242149316,3.87918938328197,0.000683266140233564,0.00299360291238695,-0.852475520573944
"YOR065W",0.458522848397566,6.85269670487908,3.88848937537242,0.000667256472423107,0.00294327960929006,-0.861711141265604
"YDR248C",0.520166578332599,6.6605406683005,3.86758014675575,0.000703782955798764,0.00306500273270155,-0.868895885304414
"YJR057W",0.495417257618375,6.84634326738942,3.88189343632653,0.00067857256784097,0.00298308295237521,-0.874741101008898
"YOL090W",0.534937073179947,6.53377055253122,3.85240920769131,0.000731511093712231,0.00315452795590071,-0.875491613789044
"YGR112W",0.474451946397925,6.57081452114677,3.85508261013703,0.0007265479947498,0.00314093215338265,-0.880450265139868
"YBR017C",0.424140720600483,7.36292038247019,3.91381339506057,0.000625512047970608,0.00279738305539777,-0.883474871330591
"YMR029C",0.482810680674122,6.8093001130735,3.86697867683184,0.000704862299912344,0.00306500273270155,-0.904576565143246
"YDR434W",0.505425181477878,6.42272019510687,3.83002093130151,0.00077440562832365,0.00331206351308512,-0.90600638398845
"YKL133C",0.54065886973367,6.03378389417101,3.79098049634815,0.00085520136019341,0.00359947644329306,-0.913069728976858
"YOL157C",0.686070732041039,5.6853092999318,3.75937904778614,0.000926621721860996,0.00384829174171104,-0.914015809503947
"YKR070W",0.529532317402976,7.11868426663874,3.8857732618192,0.000671893581438174,0.00295871919744983,-0.914954366408435
"YLR250W",0.479967635014757,7.79226171048199,3.91155723668974,0.000629124183828195,0.00281080804877747,-0.924148878434639
"YLL023C",0.390206980477224,7.55259213256406,3.90266739668216,0.000643558162741763,0.00285568647661626,-0.931172233878431
"YDR100W",0.488163835883209,7.21313780220262,3.88488245483356,0.000673421323218139,0.00296293997240103,-0.933480054810581
"YNL283C",0.568310531954082,6.9979049764537,3.86912613348982,0.000701016129752548,0.00306106455986746,-0.933597965902512
"YLR028C",0.455439738577505,8.01943954946183,3.90883876157587,0.000633503821136259,0.00282552475493936,-0.942886476770813
"YDL173W",0.398120358471815,7.72552233090627,3.90103545585981,0.000646243101841317,0.00286271944262473,-0.947257239422409
"YKL003C",0.443413770722704,7.37247667040862,3.88809609828752,0.000667925940574801,0.00294373795147489,-0.947940567015823
"YOR155C",0.448109366374337,6.88624658521088,3.85579465600249,0.000725231701436193,0.00313784788526632,-0.949531512944938
"YGL039W",0.401183166841896,8.07620353160605,3.90383042896204,0.000641651405660232,0.00285194373119887,-0.958264283115256
"YLR457C",0.483330128919959,6.39627989469161,3.8025544112524,0.000830421215504241,0.00351409953390209,-0.968126029502168
"YCR048W",0.633522653736282,6.88981978712727,3.84448613511271,0.000746416923225599,0.00321082651685062,-0.969486899528075
"YGR189C",-0.464386632755637,7.41805485564494,-3.88042669299246,0.000681114518392715,0.00299173085926927,-0.974478895777846
"YCR012W",-0.52738456489344,10.1410029994667,-3.90820169805332,0.00063453451076544,0.00282769874018332,-0.974579724785456
"YIL087C",0.452707674394232,7.2126415350695,3.86585803556537,0.000706877652505686,0.00307120048521878,-0.981688828152288
"YDR308C",0.406834276708342,7.37376375161976,3.8736976881008,0.000692897024224642,0.00303069664797417,-0.984803875868136
"YHR182W",0.534030645051897,6.56361858005455,3.810756656288,0.000813288731823009,0.00345564722378674,-0.985762959666483
"YDR014W",0.492642127546295,6.59270521690319,3.81352091226765,0.000807593560978114,0.00343425203013978,-0.987068979165353
"YJL073W",0.504276885167572,6.47528862378133,3.79950443498789,0.000836881965856517,0.00353282289722885,-0.992944480471891
"YGR287C",0.64408525260782,5.83168373875771,3.73799299543036,0.000978245669311905,0.00401875983328214,-0.995721702488635
"YIL162W",0.424887027728108,6.78950264378049,3.82887845446332,0.000776659702235789,0.00331897680635245,-0.996947351697795
"YGR058W",0.516208866061579,6.68084326355831,3.81483762651737,0.000804894555950047,0.00343399685550819,-1.00336485433699
"YGL050W",0.435052658187896,7.0369269978193,3.84489360762868,0.000745643096885077,0.00321082651685062,-1.00557985520525
"YDR242W",0.505001374341697,6.68321511527473,3.81381945046043,0.00080698083723981,0.00343425203013978,-1.00692833028126
"YGR113W",0.459925587751812,6.89857115823538,3.83257360420384,0.000769392510196228,0.00329603951898878,-1.0087913370714
"YGL004C",0.568391240731529,6.5915315525147,3.80139203807785,0.000832877661307902,0.00352163137864145,-1.01310592000948
"YBR052C",0.407232569454707,7.36725744071036,3.86123354779817,0.000715254492822612,0.00309983316831116,-1.01493742291327
"YPR133W-A",0.380451266036438,8.24963853698532,3.87996066276998,0.00068192413771618,0.00299276149815575,-1.02589707858686
"YPL003W",0.520946368767412,7.07750879816432,3.83758062110294,0.000759651950262349,0.00326236666758707,-1.02723084052741
"YPL113C",0.477014231864332,6.71166627647065,3.80520077393475,0.000824855190398382,0.00349908008640878,-1.03549136670322
"YPL283C",0.510984968615904,6.45622467270658,3.77953005669635,0.000880431919737535,0.00369866678146398,-1.03769491314329
"YDR014W-A",0.626320807805104,5.98451370643571,3.73329926637624,0.000989948187364557,0.00406042578032507,-1.03996602997359
"YGL080W",0.476703491387881,7.18092626765392,3.84002767993471,0.000754935734972883,0.00324478984354571,-1.04007490464389
"YML116W",-0.511267779835691,7.75502968759054,-3.86321214418246,0.000711658546842585,0.00308939344146427,-1.04489719248636
"YLR052W",-0.467437129789317,7.10977720676486,-3.83545945600563,0.000763763521799837,0.00327731997606608,-1.04741859178561
"YBR217W",0.547091724115011,6.53891188893426,3.77909042137173,0.000881415080671546,0.00369981088298016,-1.05671608830751
"YKL006C-A",0.580890036186861,8.61171252255233,3.87114703644845,0.000697415504090737,0.00304789899142929,-1.05857675460104
"YDR268W",0.502753831899089,6.76867910257782,3.80049882742036,0.000834770138214525,0.00352676831932354,-1.05920935539099
"YOL084W",0.617716402598048,5.27307595281825,3.66821022222607,0.00116710231619361,0.00464076971412355,-1.05945041784216
"YER048W-A",0.416658462753796,7.67717548865824,3.85442098503724,0.00072777318792289,0.0031436177951358,-1.05964013625192
"YNL090W",0.467916469782199,6.6808274595196,3.79148620417033,0.000854103593902883,0.00359947644329306,-1.06280424705483
"YNL239W",0.399943307142971,7.43745006055014,3.8447025249083,0.000746005881494896,0.00321082651685062,-1.06394401939388
"YDL138W",0.473194705261185,6.97360640923718,3.81398196745489,0.000806647477422599,0.00343425203013978,-1.06861848237326
"YOR112W",0.59479420904944,6.51010498135037,3.76758584175312,0.000907529806119486,0.00378701029090712,-1.07555567926388
"YOR387C",0.697781356159419,5.3341384008816,3.66448251186476,0.00117813897394018,0.00467038336584816,-1.07717470196368
"YLR231C",0.520530520421541,6.54341638971289,3.76550790237722,0.000912326982311863,0.0038019711312516,-1.09228942159028
"YJL062W",0.410613702182193,7.45618203708043,3.83260426593643,0.000769332489036114,0.00329603951898878,-1.09539447691817
"YMR114C",0.531015645376332,6.23775579565299,3.73229257617335,0.000992475927122215,0.00406669897510023,-1.10199402002878
"YAL062W",-0.530369316308804,6.47230631598984,-3.7605809098821,0.000923801307762958,0.0038405637435353,-1.10413485949131
"YBL093C",-0.47415037642199,7.16434578657148,-3.81405270929864,0.000806502411905987,0.00343425203013978,-1.10808650880949
"YBL054W",-0.548208869054649,7.54643707156191,-3.83002226903482,0.000774402992790798,0.00331206351308512,-1.10993787628409
"YIL125W",0.483545808534098,6.67289572553777,3.76914350105479,0.000903950016505907,0.00377916452683795,-1.11509977606364
"YHL044W",0.653928088075615,5.58610907155833,3.6683670447459,0.00116664023732518,0.00464076971412355,-1.11529539598686
"YNL097C-B",0.373770025729705,7.13393126400245,3.80772933148959,0.000819571218705028,0.00347950097337657,-1.11588605947142
"YGR098C",0.494068038102858,6.19650069392588,3.71995847857764,0.00102396500915127,0.00416711327023642,-1.12364584625611
"YKL148C",0.659273184847666,6.00211729594119,3.69958668486124,0.00107813334089889,0.00434004952774842,-1.12391222820339
"YEL049W",0.562195595302921,5.80878945551895,3.68081487022255,0.00113052869733248,0.00452646297662735,-1.13237746756661
"YIL026C",0.61182557823539,6.29714440462275,3.72376312067477,0.00101414859714223,0.00413686790605431,-1.13365965306522
"YPR198W",0.472833524860998,6.53196880748503,3.74467131852886,0.000961828821331424,0.00396383136581952,-1.1428126231563
"YBL025W",0.369641399838117,7.30304295804197,3.80406583549455,0.000827237769760569,0.00350609418798858,-1.14936134360159
"YGL172W",0.559545680191463,6.65957254884389,3.74851357318136,0.000952506557944926,0.00393788453860472,-1.15860279501861
"YDL076C",0.448447794169689,7.04889475744626,3.78327739280553,0.000872095335483117,0.00366660437899,-1.15879545679335
"YNL263C",0.595084745323353,6.50562722758596,3.73185615270969,0.000993573727842559,0.00406669897510023,-1.1624856254466
"YPR153W",0.479546389270523,6.76228888753244,3.75559993337607,0.000935545394733534,0.00387518695030401,-1.16815065342791
"YNL180C",-0.490177561923305,7.50711822459624,-3.80377193356883,0.000827855861102394,0.00350609418798858,-1.17229535929586
"YKL162C",0.606671804194715,5.6964908887264,3.65343562943526,0.00121144928033752,0.00477114567268226,-1.17391540464782
"YLR213C",0.657747388521552,5.75140464563059,3.6550347501557,0.00120657088468259,0.00476133544713639,-1.18007359448906
"YBR160W",0.471465337071379,6.8879379165463,3.75647533958901,0.000933470806071188,0.00387148649051835,-1.19359679970941
"YLR021W",0.472451762868576,7.15327438146596,3.77528453112302,0.000889971445260622,0.00373271665800285,-1.19546193479728
"YMR190C",0.578231005622043,6.01180591414164,3.67153141333911,0.00115735459697721,0.00461258091674301,-1.19678661708928
"YBR254C",0.520998947276545,7.05676684229898,3.76737762362166,0.000908009383871677,0.00378701029090712,-1.19707335071146
"YDR153C",0.454948574824159,7.60827024399288,3.79530530101333,0.000845857889364012,0.00356782035181498,-1.20019870624739
"YDL014W",-0.403657637250614,9.36710817057149,-3.81703556139009,0.000800408973392196,0.00341766095693714,-1.20140906828638
"YGR065C",-0.486776852175214,6.61870615957268,-3.72879177330794,0.00100131564476392,0.00409414605734188,-1.21493075318708
"YGL006W",0.531408722095582,5.98833485630761,3.66199115157948,0.00118557208280895,0.00468913578345031,-1.21644858658435
"YJL052W",-0.6500479531828,6.96690110046558,-3.75449742809519,0.000938164618533951,0.00388167475315518,-1.21849386074288
"YBL078C",0.592120995459131,6.67933607153427,3.71805233458392,0.00102891806678343,0.0041798022995103,-1.23642649360872
"YOR036W",0.484018928641819,6.92784491262351,3.74140610302123,0.000969821397415047,0.00398729887325855,-1.23799650694379
"YPR116W",0.528741913636012,6.50893968358024,3.69911256644518,0.00107942690191329,0.00434189878242557,-1.24622524257297
"YDR174W",-0.387473371790114,8.19167531030925,-3.79087178196591,0.000855437533209129,0.00359947644329306,-1.24639069892395
"YOR370C",-0.423111890116143,7.00729458493781,-3.74535082328557,0.000960173679853532,0.00396014580319939,-1.25329539097505
"YAL067C",0.660875556375446,5.38395295129615,3.58796844766931,0.00142862142361469,0.00546762831611356,-1.26969543899194
"YLL058W",0.633672407885412,5.99377003213808,3.63728340199088,0.00126181971941348,0.00493075948914952,-1.27396295907691
"YDR296W",0.405400230955749,7.83219711693432,3.76827739018393,0.000905938784157073,0.00378443930299965,-1.28187170101716
"YJR005C-A",0.749912611106391,5.5638660323989,3.59538095553253,0.00140223885203118,0.00537852116788673,-1.28289528945793
"YDL165W",0.402812865590344,7.32892895789603,3.74586022041379,0.00095893472150465,0.00395817226441848,-1.29511266537592
"YHR007C",-0.417895535644587,7.68973153896676,-3.75915906333811,0.00092713887494825,0.00384829174171104,-1.29798846123135
"YJR078W",0.62342648492306,5.36211897512148,3.57425219864476,0.00147872531474942,0.00562145458864169,-1.29914754600704
"YPR167C",0.393880234225419,6.89714748795371,3.71305770488327,0.00104200819897882,0.00422333742471856,-1.30477615203005
"YMR002W",0.382944447480754,8.90370488377692,3.77326762539823,0.000894538861677798,0.00374282538185928,-1.30648429611622
